"code","name","ipo_date","papan_pencatatan","industry"
"WINS","Wintermar Offshore Marine Tbk.","2010-11-29","Utama","Energy"
"WIRG","WIR ASIA Tbk.","2022-04-04","Pengembangan","Technology"
"WMPP","Widodo Makmur Perkasa Tbk.","2021-12-06","Pemantauan Khusus","Consumer Non-Cyclicals"
"WMUU","Widodo Makmur Unggas Tbk.","2021-02-02","Pemantauan Khusus","Consumer Non-Cyclicals"
"WOMF","Wahana Ottomitra Multiartha Tb","2004-12-13","Pengembangan","Financials"
"WOOD","Integra Indocabinet Tbk.","2017-06-21","Utama","Consumer Cyclicals"
"WOWS","Ginting Jaya Energi Tbk.","2019-11-08","Pemantauan Khusus","Energy"
"WSBP","Waskita Beton Precast Tbk.","2016-09-20","Pemantauan Khusus","Basic Materials"
"WSKT","Waskita Karya (Persero) Tbk.","2012-12-19","Pemantauan Khusus","Infrastructure"
"WTON","Wijaya Karya Beton Tbk.","2014-04-08","Utama","Basic Materials"
"YELO","Yelooo Integra Datanet Tbk.","2018-10-29","Pemantauan Khusus","Consumer Cyclicals"
"YPAS","Yanaprima Hastapersada Tbk","2008-03-05","Pemantauan Khusus","Basic Materials"
"YULE","Yulie Sekuritas Indonesia Tbk.","2004-12-10","Pengembangan","Financials"
"ZATA","Bersama Zatta Jaya Tbk.","2022-11-10","Pemantauan Khusus","Consumer Cyclicals"
"ZBRA","Dosni Roha Indonesia Tbk.","1991-08-01","Pengembangan","Industrials"
"ZINC","Kapuas Prima Coal Tbk.","2017-10-16","Pemantauan Khusus","Basic Materials"
"ZONE","Mega Perintis Tbk.","2018-12-12","Pengembangan","Consumer Cyclicals"
"ZYRX","Zyrexindo Mandiri Buana Tbk.","2021-03-30","Pengembangan","Technology"
