"code","name","ipo_date","papan_pencatatan","industry"
"BRMS","Bumi Resources Minerals Tbk.","2010-12-09","Utama","Basic Materials"
"BRNA","Berlina Tbk.","1989-11-06","Pemantauan Khusus","Basic Materials"
"BSBK","Wulandari Bangun Laksana Tbk.","2022-11-08","Utama","Properties & Real Estate"
"BSDE","Bumi Serpong Damai Tbk.","2008-06-06","Utama","Properties & Real Estate"
"BSIM","Bank Sinarmas Tbk.","2010-12-13","Utama","Financials"
"BSML","Bintang Samudera Mandiri Lines","2021-12-16","Pengembangan","Energy"
"BSSR","Baramulti Suksessarana Tbk.","2012-11-08","Pengembangan","Energy"
"BSWD","Bank Of India Indonesia Tbk.","2002-05-01","Pemantauan Khusus","Financials"
"BTEK","Bumi Teknokultura Unggul Tbk","2004-05-14","Pemantauan Khusus","Consumer Non-Cyclicals"
"BTEL","Bakrie Telecom Tbk.","2006-02-03","Pemantauan Khusus","Infrastructure"
"BTON","Betonjaya Manunggal Tbk.","2001-07-18","Pengembangan","Basic Materials"
"BTPN","Bank SMBC Indonesia Tbk.","2008-03-12","Utama","Financials"
"BTPS","Bank BTPN Syariah Tbk.","2018-05-08","Utama","Financials"
"BUAH","Segar Kumala Indonesia Tbk.","2022-08-09","Pengembangan","Consumer Non-Cyclicals"
"BUDI","Budi Starch & Sweetener Tbk.","1995-05-08","Utama","Consumer Non-Cyclicals"
"BUKA","Bukalapak.com Tbk.","2021-08-06","Ekonomi Baru","Technology"
"BUKK","Bukaka Teknik Utama Tbk.","2015-06-29","Pengembangan","Infrastructure"
"BULL","Buana Lintas Lautan Tbk.","2011-05-23","Pengembangan","Energy"
"BUMI","Bumi Resources Tbk.","1990-07-30","Utama","Energy"
"BUVA","Bukit Uluwatu Villa Tbk.","2010-07-12","Pengembangan","Consumer Cyclicals"
"BVIC","Bank Victoria International Tb","1999-06-30","Utama","Financials"
"BWPT","Eagle High Plantations Tbk.","2009-10-27","Utama","Consumer Non-Cyclicals"
"BYAN","Bayan Resources Tbk.","2008-08-12","Utama","Energy"
"CAKK","Cahayaputra Asa Keramik Tbk.","2018-10-31","Pengembangan","Industrials"
"CAMP","Campina Ice Cream Industry Tbk","2017-12-19","Pengembangan","Consumer Non-Cyclicals"
"CANI","Capitol Nusantara Indonesia Tb","2014-01-16","Pemantauan Khusus","Energy"
"CARE","Metro Healthcare Indonesia Tbk","2020-03-13","Pengembangan","Healthcare"
"CARS","Industri dan Perdagangan Bintr","2017-04-10","Utama","Consumer Cyclicals"
"CASA","Capital Financial Indonesia Tb","2016-07-19","Pengembangan","Financials"
"CASH","Cashlez Worldwide Indonesia Tb","2020-05-04","Akselerasi","Technology"
"CASS","Cardig Aero Services Tbk.","2011-12-05","Utama","Infrastructure"
"CBMF","Cahaya Bintang Medan Tbk.","2020-04-09","Pemantauan Khusus","Consumer Cyclicals"
"CBPE","Citra Buana Prasida Tbk.","2023-01-06","Pengembangan","Properties & Real Estate"
"CBRE","Cakra Buana Resources Energi T","2023-01-09","Pemantauan Khusus","Energy"
"CBUT","Citra Borneo Utama Tbk.","2022-11-08","Utama","Consumer Non-Cyclicals"
"CCSI","Communication Cable Systems In","2019-06-18","Pengembangan","Industrials"
"CEKA","Wilmar Cahaya Indonesia Tbk.","1996-07-09","Pengembangan","Consumer Non-Cyclicals"
"CENT","Centratama Telekomunikasi Indo","2001-11-01","Pemantauan Khusus","Infrastructure"
"CFIN","Clipan Finance Indonesia Tbk.","1990-08-27","Utama","Financials"
"CGAS","Citra Nusantara Gemilang Tbk.","2024-01-08","Pengembangan","Energy"
"CHEM","Chemstar Indonesia Tbk.","2022-07-08","Pengembangan","Basic Materials"
"CHIP","Pelita Teknologi Global Tbk.","2023-02-08","Akselerasi","Technology"
"CINT","Chitose Internasional Tbk.","2014-06-27","Pengembangan","Consumer Cyclicals"
"CITA","Cita Mineral Investindo Tbk.","2002-03-20","Pengembangan","Basic Materials"
"CITY","Natura City Developments Tbk.","2018-09-28","Pengembangan","Properties & Real Estate"
"CLAY","Citra Putra Realty Tbk.","2019-01-18","Pemantauan Khusus","Consumer Cyclicals"
"CLEO","Sariguna Primatirta Tbk.","2017-05-05","Utama","Consumer Non-Cyclicals"
"CLPI","Colorpak Indonesia Tbk.","2001-11-30","Pengembangan","Basic Materials"
"CMNP","Citra Marga Nusaphala Persada","1995-01-10","Utama","Infrastructure"
"CMNT","Cemindo Gemilang Tbk.","2021-09-08","Utama","Basic Materials"
"CMPP","AirAsia Indonesia Tbk.","1994-12-08","Pemantauan Khusus","Transportation & Logistics"
"CMRY","Cisarua Mountain Dairy Tbk.","2021-12-06","Utama","Consumer Non-Cyclicals"
"CNKO","Exploitasi Energi Indonesia Tb","2001-11-20","Pemantauan Khusus","Energy"
"CNMA","Nusantara Sejahtera Raya Tbk.","2023-08-02","Utama","Consumer Cyclicals"
"CNTX","Century Textile Industry Tbk.","1979-05-22","Pemantauan Khusus","Consumer Cyclicals"
"COAL","Black Diamond Resources Tbk.","2022-09-07","Pemantauan Khusus","Energy"
"COCO","Wahana Interfood Nusantara Tbk","2019-03-20","Pengembangan","Consumer Non-Cyclicals"
"COWL","Cowell Development Tbk.","2007-12-19","Pemantauan Khusus","Properties & Real Estate"
"CPIN","Charoen Pokphand Indonesia Tbk","1991-03-18","Utama","Consumer Non-Cyclicals"
"CPRI","Capri Nusa Satu Properti Tbk.","2019-04-11","Pemantauan Khusus","Properties & Real Estate"
"CPRO","Central Proteina Prima Tbk.","2006-11-28","Pengembangan","Consumer Non-Cyclicals"
"CRAB","Toba Surimi Industries Tbk.","2022-08-10","Pengembangan","Consumer Non-Cyclicals"
"CRSN","Carsurin Tbk.","2023-07-10","Pengembangan","Industrials"
"CSAP","Catur Sentosa Adiprana Tbk.","2007-12-12","Pengembangan","Consumer Cyclicals"
"CSIS","Cahayasakti Investindo Sukses","2017-05-10","Pemantauan Khusus","Properties & Real Estate"
"CSMI","Cia Selera Murni Tbk.","2020-04-09","Pemantauan Khusus","Consumer Cyclicals"
"CSRA","Cisadane Sawit Raya Tbk.","2020-01-09","Pengembangan","Consumer Non-Cyclicals"
"CTBN","Citra Tubindo Tbk.","1989-11-28","Pemantauan Khusus","Basic Materials"
"CTRA","Ciputra Development Tbk.","1994-03-28","Utama","Properties & Real Estate"
"CTTH","Citatah Tbk.","1996-07-03","Pemantauan Khusus","Industrials"
"CUAN","Petrindo Jaya Kreasi Tbk.","2023-03-08","Utama","Energy"
"CYBR","ITSEC Asia Tbk.","2023-08-08","Pengembangan","Technology"
"DAAZ","Daaz Bara Lestari Tbk.","2024-11-11","Utama","Basic Materials"
"DADA","Diamond Citra Propertindo Tbk.","2020-02-14","Pemantauan Khusus","Properties & Real Estate"
"DART","Duta Anggada Realty Tbk.","1990-05-08","Pengembangan","Properties & Real Estate"
"DATA","Remala Abadi Tbk.","2024-05-07","Pengembangan","Infrastructure"
"DAYA","Duta Intidaya Tbk.","2016-06-28","Pengembangan","Consumer Non-Cyclicals"
"DCII","DCI Indonesia Tbk.","2021-01-06","Pengembangan","Technology"
"DEAL","Dewata Freightinternational Tb","2018-11-11","Pemantauan Khusus","Transportation & Logistics"
"DEFI","Danasupra Erapacific Tbk.","2001-07-06","Pemantauan Khusus","Financials"
"DEPO","Caturkarda Depo Bangunan Tbk.","2021-11-25","Pengembangan","Consumer Cyclicals"
"DEWA","Darma Henwa Tbk","2007-09-26","Utama","Energy"
